actual,predicted,residual
7201,7105.398,95.60205078125
13013,13164.332,-151.33203125
8638,8395.341,242.6591796875
7718,7343.7393,374.2607421875
10632,10964.694,-332.6943359375
416,359.43564,56.564361572265625
10403,10454.739,-51.7392578125
11501,11380.887,120.11328125
13653,13726.849,-73.8486328125
4849,5071.7446,-222.74462890625
5102,5108.3486,-6.3486328125
9962,9674.344,287.65625
8330,8045.9644,284.03564453125
9150,9454.119,-304.119140625
9029,8801.11,227.8896484375
12810,12684.864,125.1357421875
15381,15402.819,-21.8193359375
9078,9529.6,-451.599609375
11057,11292.833,-235.8330078125
11318,11721.217,-403.216796875
10621,10177.259,443.7412109375
11696,11617.69,78.3095703125
10853,10519.692,333.3076171875
15689,15832.062,-143.0615234375
9848,10038.516,-190.515625
16904,15759.751,1144.2490234375
249,338.57077,-89.57077026367188
1177,998.6862,178.31378173828125
13451,12773.031,677.96875
5022,4822.214,199.7861328125
11583,11470.883,112.1171875
6659,6934.5044,-275.50439453125
7860,8094.3843,-234.38427734375
14345,14216.117,128.8828125
8899,9025.037,-126.037109375
7777,7920.664,-143.6640625
7540,7961.9355,-421.935546875
8116,8321.566,-205.56640625
11549,11850.19,-301.1904296875
13013,12726.35,286.650390625
11866,11847.772,18.2275390625
14478,14335.976,142.0244140625
10579,10740.762,-161.76171875
10166,10379.026,-213.0263671875
6687,6634.3105,52.689453125
16033,15330.945,702.0546875
12673,13096.661,-423.6611328125
13821,13459.161,361.8388671875
12910,12398.392,511.6083984375
6612,6795.3364,-183.33642578125
10886,10564.287,321.712890625
6056,6099.6504,-43.650390625
17318,16801.666,516.333984375
6748,6711.7593,36.24072265625
10984,10996.107,-12.107421875
6367,6425.5854,-58.58544921875
10233,10630.233,-397.2333984375
11186,11078.285,107.71484375
17589,16535.828,1053.171875
6667,6608.2764,58.7236328125
4371,4334.506,36.494140625
12916,12848.686,67.314453125
10554,10478.675,75.3251953125
2895,2869.303,25.697021484375
12060,12310.332,-250.33203125
16516,17327.99,-811.990234375
12491,12231.455,259.544921875
17669,17436.488,232.51171875
7543,7144.567,398.43310546875
11957,11529.983,427.0166015625
9749,10438.153,-689.1533203125
13091,13589.09,-498.08984375
12370,12659.742,-289.7421875
14320,13871.79,448.2099609375
8803,8772.919,30.0810546875
9790,9692.914,97.0859375
5076,4872.843,203.1572265625
9312,9437.468,-125.4677734375
16322,15972.854,349.146484375
9342,9222.4795,119.5205078125
11967,11926.038,40.9619140625
12632,12798.479,-166.478515625
11422,11847.272,-425.2724609375
3095,3038.8608,56.13916015625
5566,5349.1562,216.84375
8875,8763.665,111.3349609375
5716,5684.908,31.091796875
10137,9766.68,370.3203125
10222,10403.64,-181.6396484375
4738,5012.3,-274.2998046875
13987,14379.208,-392.2080078125
16163,16980.363,-817.36328125
11092,10699.569,392.4306640625
8571,8203.104,367.896484375
14998,15108.377,-110.376953125
14063,13832.209,230.791015625
10073,10470.705,-397.705078125
6676,6990.9995,-314.99951171875
12586,12955.052,-369.0517578125
9249,9503.496,-254.49609375
9582,9846.331,-264.3310546875
4645,4466.21,178.7900390625
9702,9529.191,172.80859375
9845,10033.016,-188.015625
3999,4011.2998,-12.2998046875
15553,15328.095,224.9052734375
8884,8414.293,469.70703125
11024,11094.646,-70.646484375
4520,4612.0015,-92.00146484375
10934,10656.159,277.8408203125
10583,10998.359,-415.359375
10564,10120.773,443.2265625
7894,8107.762,-213.76220703125
1126,986.8409,139.15911865234375
8148,8295.818,-147.818359375
12915,13344.523,-429.5234375
11446,11899.261,-453.2607421875
6293,6369.0347,-76.03466796875
17905,17631.58,273.419921875
11470,11195.368,274.6318359375
13738,13817.363,-79.36328125
12017,11848.749,168.2509765625
9651,9587.226,63.7744140625
12282,12273.157,8.8427734375
11553,11723.173,-170.1728515625
13505,13273.876,231.1240234375
11116,11247.875,-131.875
12453,12529.765,-76.7646484375
4608,4419.757,188.2431640625
7622,7932.4775,-310.4775390625
6679,6489.4487,189.55126953125
6918,6842.1294,75.87060546875
9065,9441.11,-376.1103515625
14511,14539.626,-28.6259765625
8855,8860.451,-5.451171875
14998,14361.521,636.478515625
15263,15666.638,-403.6376953125
14286,13925.177,360.8232421875
12262,12356.897,-94.8974609375
9318,9534.376,-216.3759765625
9541,9091.85,449.150390625
6085,5782.356,302.64404296875
11374,10958.583,415.4169921875
12865,13005.472,-140.4716796875
12084,12288.95,-204.9501953125
12434,12050.126,383.8740234375
16165,16150.505,14.4951171875
11828,11503.097,324.9033203125
8924,8689.489,234.5107421875
10571,10491.098,79.90234375
8351,8708.629,-357.62890625
6319,6371.2593,-52.25927734375
8863,8873.523,-10.5234375
13911,13548.225,362.775390625
10470,10171.341,298.6591796875
3907,4174.119,-267.119140625
3622,3204.2173,417.78271484375
6902,6587.5747,314.42529296875
10480,10252.834,227.166015625
7006,7009.495,-3.4951171875
16493,15923.764,569.236328125
1385,1359.033,25.967041015625
9990,10041.268,-51.267578125
5509,5619.3877,-110.3876953125
7497,7256.859,240.14111328125
7772,7934.6406,-162.640625
11636,11668.353,-32.3525390625
10257,10446.355,-189.35546875
15648,15696.709,-48.708984375
12582,12500.251,81.7490234375
11919,12299.447,-380.447265625
10780,10877.51,-97.509765625
11920,11934.146,-14.146484375
12027,12028.706,-1.7060546875
15569,15554.681,14.3193359375
8129,7889.7266,239.2734375
12980,13300.356,-320.3564453125
8193,7958.858,234.14208984375
8643,9028.286,-385.2861328125
10381,10454.328,-73.328125
9061,9385.301,-324.30078125
17324,17577.436,-253.435546875
13639,13928.384,-289.3837890625
14719,14716.781,2.21875
4821,5022.114,-201.11376953125
18256,18609.373,-353.373046875
7133,7359.144,-226.14404296875
12422,12286.314,135.685546875
7822,7349.2827,472.71728515625
9618,10070.82,-452.8203125
5641,5417.688,223.31201171875
13871,13778.334,92.666015625
9413,9472.563,-59.5634765625
4924,4830.6025,93.3974609375
6923,7266.763,-343.76318359375
12817,12632.125,184.875
1738,1733.3213,4.6787109375
8920,9184.087,-264.0869140625
8270,8051.6943,218.3056640625
8269,8679.072,-410.072265625
4085,3866.1562,218.84375
6234,6517.3164,-283.31640625
1599,1542.9027,56.0972900390625
2877,3061.3992,-184.399169921875
20240,20771.549,-531.548828125
10136,10680.739,-544.7392578125
5659,5656.649,2.35107421875
5081,5329.028,-248.02783203125
11307,11410.581,-103.5810546875
8150,7989.288,160.7119140625
12707,12529.219,177.78125
4663,4839.0415,-176.04150390625
8163,8019.6133,143.38671875
8660,8353.372,306.6279296875
16092,15867.722,224.2783203125
8217,8255.65,-38.650390625
4979,4932.5884,46.41162109375
13917,13750.846,166.154296875
13238,13191.532,46.4677734375
6140,5900.825,239.1748046875
12928,12947.643,-19.642578125
6243,6246.3545,-3.3544921875
3139,2893.5105,245.489501953125
10998,10675.707,322.29296875
8179,8072.193,106.80712890625
20012,20294.617,-282.6171875
5774,5683.072,90.92822265625
9208,8928.97,279.0302734375
8120,7761.342,358.658203125
8099,8038.8125,60.1875
6860,6608.441,251.55908203125
9446,8848.224,597.7763671875
12668,13315.085,-647.0849609375
7895,8254.448,-359.4482421875
18542,18672.145,-130.14453125
11711,12110.737,-399.7373046875
6722,6798.295,-76.294921875
15795,16220.416,-425.416015625
6777,6600.303,176.69677734375
10505,10425.547,79.453125
11494,11289.448,204.5517578125
8427,8657.188,-230.1884765625
6542,6787.7104,-245.71044921875
8058,7982.0923,75.90771484375
11474,12059.626,-585.6259765625
8652,9053.993,-401.9931640625
9604,9818.58,-214.580078125
10381,10317.819,63.1806640625
14908,15048.62,-140.6201171875
10591,10814.07,-223.0703125
8177,8009.7134,167.28662109375
7373,7766.142,-393.14208984375
21772,21864.393,-92.392578125
6060,5786.8965,273.103515625
4355,4540.3057,-185.3056640625
11189,11152.31,36.6904296875
9563,9766.972,-203.9716796875
10425,10653.541,-228.541015625
7304,7371.1816,-67.181640625
6457,5991.5024,465.49755859375
4349,4324.3545,24.6455078125
9243,9190.936,52.064453125
9144,9479.952,-335.9521484375
7781,7666.943,114.05712890625
3475,3610.9639,-135.9638671875
8184,8438.171,-254.1708984375
10109,10128.6,-19.599609375
15421,15939.528,-518.5283203125
10813,10977.109,-164.109375
1519,1616.8531,-97.8531494140625
10773,10266.155,506.8447265625
8103,8593.468,-490.4677734375
10704,10412.365,291.634765625
12976,13444.261,-468.2607421875
8528,8532.548,-4.5478515625
11732,11344.15,387.849609375
9731,9146.514,584.486328125
8479,8413.055,65.9453125
11967,12130.957,-163.95703125
17426,17630.332,-204.33203125
13550,13711.385,-161.384765625
14778,15355.398,-577.3984375
10254,10430.678,-176.677734375
8720,8427.977,292.0234375
4063,3873.683,189.31689453125
9802,9710.46,91.5400390625
7416,7151.14,264.85986328125
19214,19247.732,-33.732421875
6992,6880.894,111.10595703125
12850,12762.718,87.2822265625
14301,14027.005,273.9951171875
8512,8770.251,-258.2509765625
10197,10039.316,157.68359375
14261,14254.838,6.162109375
6579,6506.653,72.34716796875
8304,8194.817,109.1826171875
9784,9716.227,67.7734375
17279,17443.973,-164.97265625
8756,8704.723,51.27734375
10354,10244.105,109.89453125
5287,5278.5347,8.46533203125
15752,15659.187,92.8134765625
10329,10654.893,-325.892578125
11602,11347.215,254.78515625
10273,10244.721,28.279296875
2967,2827.4004,139.599609375
5746,5622.645,123.35498046875
6006,6139.0186,-133.0185546875
14814,15316.213,-502.212890625
11327,11025.033,301.966796875
4543,4332.555,210.44482421875
13615,12899.488,715.51171875
8612,8534.047,77.953125
15709,15459.4375,249.5625
7004,6618.4595,385.54052734375
14659,14282.494,376.505859375
6022,5959.9243,62.07568359375
6776,6344.894,431.10595703125
8239,8251.674,-12.673828125
8590,8959.256,-369.255859375
7274,6996.464,277.5361328125
10838,10709.168,128.83203125
11207,10721.792,485.2080078125
2533,2417.9644,115.03564453125
11880,11389.056,490.9443359375
9127,9553.67,-426.669921875
7151,7307.218,-156.2177734375
14598,13830.073,767.9267578125
6662,6599.1763,62.82373046875
17304,17234.69,69.310546875
8801,8963.816,-162.81640625
10442,9909.526,532.4736328125
4948,5111.076,-163.076171875
14506,15011.155,-505.1552734375
3250,3183.6262,66.373779296875
11996,12204.104,-208.103515625
10927,10818.969,108.03125
6794,6549.6606,244.33935546875
14261,14552.365,-291.365234375
5573,5326.4507,246.54931640625
15021,15398.092,-377.091796875
18467,18601.363,-134.36328125
7720,7937.7485,-217.74853515625
5351,5580.4453,-229.4453125
10142,9725.656,416.34375
8072,8223.069,-151.0693359375
14448,14861.365,-413.365234375
14650,14510.884,139.1162109375
12999,12550.349,448.6513671875
13254,13666.908,-412.908203125
11749,11953.473,-204.47265625
13723,13896.735,-173.7353515625
9542,9802.49,-260.490234375
9818,9653.44,164.5595703125
6610,6566.3765,43.62353515625
5968,5883.68,84.31982421875
1351,1332.0005,18.99951171875
304,353.11487,-49.1148681640625
14715,14612.421,102.5791015625
10821,11058.771,-237.771484375
14291,14197.387,93.61328125
889,880.01996,8.98004150390625
4010,3830.9604,179.03955078125
12472,12225.931,246.0693359375
10695,10789.643,-94.642578125
11041,11016.535,24.46484375
8033,8334.715,-301.71484375
3764,3635.0322,128.9677734375
8583,8183.445,399.55517578125
12138,12342.93,-204.9296875
7750,7726.911,23.0888671875
14915,15566.367,-651.3671875
9647,9600.721,46.279296875
6115,6354.814,-239.81396484375
8158,7996.6816,161.318359375
8155,8320.154,-165.154296875
2907,2818.4348,88.565185546875
10561,10834.434,-273.43359375
13280,13715.363,-435.36328125
7992,8297.569,-305.5693359375
11120,10967.13,152.8701171875
6711,6579.623,131.376953125
9132,8978.691,153.30859375
4668,4843.5874,-175.58740234375
10058,9875.171,182.8291015625
8064,7601.562,462.43798828125
11233,11682.432,-449.431640625
10495,9993.334,501.666015625
13104,12822.376,281.6240234375
14656,13904.519,751.4814453125
3489,3203.494,285.506103515625
10485,10613.8545,-128.8544921875
10175,10191.195,-16.1953125
7693,7144.93,548.06982421875
8969,8777.133,191.8671875
9327,9165.103,161.8974609375
16353,16051.498,301.501953125
13488,13288.339,199.6611328125
18300,17664.057,635.943359375
13291,13586.421,-295.4208984375
3471,3504.5234,-33.5234375
2639,2699.2534,-60.25341796875
